517, 83.9, 17.0, -7.0
516, 81.6, 19.0, -9.0
515, 76.9, 25.0, -13.0
514, 67.5, 35.0, -19.0
513, 39.2, 48.0, -29.0
512, 35.3, 42.0, -21.0
511, 27.1, 28.0, -10.0
524, 80.8, 10.0, -8.0
523, 75.3, 14.0, -12.0
522, 68.2, 18.0, -17.0
521, 58.4, 23.0, -21.0
520, 29.0, 32.0, -25.0
519, 27.5, 25.0, -19.0
518, 23.9, 17.0, -10.0
531, 83.5, 13.0, -12.0
530, 78.8, 18.0, -17.0
529, 72.2, 24.0, -24.0
528, 62.0, 33.0, -33.0
527, 37.3, 49.0, -48.0
526, 32.9, 41.0, -38.0
525, 25.9, 27.0, -22.0
538, 82.7, -2.0, -7.0
537, 79.6, -2.0, -10.0
536, 71.8, -2.0, -14.0
535, 64.7, -1.0, -18.0
534, 22.0, 2.0, -28.0
533, 16.9, 3.0, -19.0
532, 11.8, 1.0, -8.0
545, 85.9, -5.0, -9.0
544, 83.9, -5.0, -12.0
543, 78.4, -8.0, -18.0
542, 68.6, -10.0, -25.0
541, 22.7, -7.0, -39.0
540, 17.6, -7.0, -30.0
539, 13.3, -7.0, -17.0
552, 82.7, -7.0, -8.0
551, 77.6, -10.0, -11.0
550, 72.2, -12.0, -14.0
549, 63.5, -15.0, -18.0
548, 21.2, -21.0, -18.0
547, 16.5, -17.0, -14.0
546, 14.9, -11.0, -8.0
559, 78.8, -12.0, 5.0
558, 73.7, -15.0, 5.0
557, 68.2, -18.0, 6.0
556, 62.0, -21.0, 7.0
555, 42.4, -29.0, 11.0
554, 34.1, -25.0, 9.0
553, 27.1, -15.0, 7.0
566, 84.7, -14.0, 0.0
565, 81.2, -20.0, -1.0
564, 75.7, -25.0, -2.0
563, 70.2, -29.0, -3.0
562, 40.4, -36.0, -3.0
561, 32.9, -28.0, -1.0
560, 22.7, -15.0, 1.0
573, 86.3, -17.0, -1.0
572, 84.3, -22.0, -1.0
571, 82.4, -25.0, -2.0
570, 74.9, -33.0, -2.0
569, 45.9, -47.0, -2.0
568, 39.2, -35.0, 0.0
567, 23.1, -17.0, 1.0
580, 83.1, -12.0, 22.0
579, 81.2, -13.0, 24.0
578, 80.0, -15.0, 25.0
577, 75.7, -17.0, 31.0
576, 60.4, -23.0, 38.0
575, 51.0, -18.0, 34.0
574, 36.5, -11.0, 22.0
587, 89.0, -9.0, 42.0
586, 88.2, -10.0, 49.0
585, 86.7, -11.0, 53.0
584, 83.9, -13.0, 61.0
583, 74.9, -15.0, 72.0
582, 57.3, -8.0, 57.0
581, 39.2, -3.0, 34.0
600, 92.2, -6.0, 39.0
601, 91.4, -6.0, 44.0
602, 91.0, -7.0, 53.0
603, 88.6, -7.0, 71.0
604, 86.7, -6.0, 80.0
605, 82.0, -5.0, 88.0
606, 74.1, -1.0, 88.0
607, 90.2, -5.0, 37.0
608, 88.6, -6.0, 45.0
609, 87.5, -6.0, 51.0
610, 84.3, -6.0, 62.0
611, 80.0, -6.0, 74.0
612, 72.2, -3.0, 80.0
613, 64.7, 0.0, 75.0
614, 84.7, -4.0, 30.0
615, 82.4, -4.0, 33.0
616, 80.0, -4.0, 36.0
617, 73.3, -4.0, 44.0
618, 65.1, -3.0, 51.0
619, 60.0, -3.0, 53.0
620, 51.8, -1.0, 51.0
621, 87.8, -7.0, 2.0
622, 80.4, -9.0, 2.0
623, 72.5, -13.0, 2.0
624, 62.0, -16.0, 2.0
625, 49.4, -20.0, 2.0
626, 34.9, -22.0, 2.0
627, 18.0, -14.0, 0.0
628, 85.5, -12.0, -7.0
629, 80.4, -17.0, -12.0
630, 74.5, -22.0, -17.0
631, 66.3, -28.0, -23.0
632, 53.7, -34.0, -30.0
633, 41.6, -34.0, -33.0
634, 33.7, -30.0, -33.0
635, 83.5, -16.0, -13.0
636, 80.0, -20.0, -18.0
637, 72.5, -27.0, -26.0
638, 63.9, -34.0, -35.0
639, 53.7, -38.0, -43.0
640, 46.7, -36.0, -46.0
641, 36.9, -29.0, -46.0
642, 87.5, -2.0, -6.0
643, 84.3, -3.0, -9.0
644, 72.9, -5.0, -18.0
645, 64.3, -6.0, -23.0
646, 55.3, -7.0, -28.0
647, 38.8, -6.0, -34.0
648, 17.6, 0.0, -34.0
649, 89.4, -1.0, -5.0
650, 86.3, -2.0, -8.0
651, 75.3, -3.0, -16.0
652, 62.7, -4.0, -23.0
653, 39.6, -3.0, -34.0
654, 23.5, 0.0, -37.0
655, 14.5, 4.0, -33.0
656, 90.2, -1.0, -5.0
657, 85.5, -2.0, -12.0
658, 80.0, -3.0, -19.0
659, 65.9, -3.0, -34.0
660, 51.0, -1.0, -47.0
661, 23.5, 14.0, -60.0
662, 14.1, 21.0, -53.0
663, 90.2, 2.0, -2.0
664, 87.8, 3.0, -3.0
665, 77.6, 7.0, -9.0
666, 62.7, 11.0, -15.0
667, 47.5, 14.0, -19.0
668, 36.1, 17.0, -22.0
669, 21.6, 17.0, -23.0
670, 87.1, 11.0, -4.0
671, 80.8, 20.0, -8.0
672, 73.3, 30.0, -11.0
673, 66.7, 40.0, -13.0
674, 54.1, 53.0, -13.0
675, 42.0, 60.0, -8.0
676, 33.3, 58.0, 1.0
677, 85.1, 11.0, -4.0
678, 83.5, 13.0, -4.0
679, 80.4, 15.0, -6.0
680, 67.8, 25.0, -8.0
681, 54.5, 34.0, -10.0
682, 43.1, 40.0, -10.0
683, 31.4, 41.0, -6.0
684, 82.7, 13.0, -3.0
685, 78.0, 17.0, -4.0
686, 71.4, 22.0, -5.0
687, 62.4, 27.0, -7.0
688, 51.4, 33.0, -8.0
689, 37.6, 38.0, -8.0
690, 24.7, 32.0, -3.0
691, 85.1, 11.0, 3.0
692, 80.8, 15.0, 3.0
693, 72.5, 22.0, 4.0
